id,dc-started,man-adding,man-added,dc-registered
100,12:06:34.776,12:06:35.852,12:06:36.664,12:06:36.775
200,12:06:34.831,12:06:37.208,12:06:37.281,12:06:37.283
300,12:06:34.851,12:06:37.902,12:06:38.054,12:06:38.057
400,12:06:34.903,12:06:38.062,12:06:38.317,12:06:38.582
201,12:06:34.930,12:06:37.640,12:06:37.749,12:06:37.757
101,12:06:34.961,12:06:36.792,12:06:36.858,12:06:36.891
250,12:06:34.967,12:06:40.263,12:06:40.417,12:06:40.420
301,12:06:34.991,12:06:37.290,12:06:37.431,12:06:37.591
401,12:06:35.140,12:06:38.557,12:06:38.811,12:06:38.814
202,12:06:35.156,12:06:37.088,12:06:37.198,12:06:37.225
0,12:06:35.214,12:06:41.182,12:06:41.244,12:06:41.271
102,12:06:35.264,12:06:36.895,12:06:37.076,12:06:37.078
150,12:06:35.270,12:06:42.139,12:06:42.197,12:06:42.200
350,12:06:35.293,12:06:40.556,12:06:40.624,12:06:40.651
251,12:06:35.314,12:06:39.881,12:06:40.018,12:06:40.246
450,12:06:35.320,12:06:41.672,12:06:41.731,12:06:41.733
302,12:06:35.334,12:06:37.765,12:06:37.873,12:06:37.881
203,12:06:35.347,12:06:37.452,12:06:37.611,12:06:37.614
402,12:06:35.434,12:06:38.823,12:06:39.091,12:06:39.095
103,12:06:35.444,12:06:38.325,12:06:38.547,12:06:38.551
1,12:06:35.457,12:06:41.251,12:06:41.311,12:06:41.313
151,12:06:35.467,12:06:42.265,12:06:42.321,12:06:42.324
204,12:06:35.468,12:06:39.100,12:06:39.354,12:06:39.358
351,12:06:35.468,12:06:40.694,12:06:40.754,12:06:40.758
303,12:06:35.515,12:06:39.378,12:06:39.569,12:06:39.574
451,12:06:35.518,12:06:41.736,12:06:41.801,12:06:41.803
50,12:06:35.559,12:06:42.776,12:06:42.834,12:06:42.836
403,12:06:35.563,12:06:39.582,12:06:39.717,12:06:39.721
252,12:06:35.577,12:06:40.034,12:06:40.251,12:06:40.255
304,12:06:35.595,12:06:39.741,12:06:39.869,12:06:39.878
104,12:06:35.595,12:06:40.436,12:06:40.544,12:06:40.547
205,12:06:35.644,12:06:40.977,12:06:41.041,12:06:41.044
105,12:06:35.705,12:06:40.630,12:06:40.687,12:06:40.690
352,12:06:35.714,12:06:40.765,12:06:40.824,12:06:40.827
106,12:06:35.726,12:06:40.831,12:06:40.894,12:06:40.898
51,12:06:35.734,12:06:42.713,12:06:42.771,12:06:42.798
353,12:06:35.746,12:06:40.903,12:06:40.968,12:06:40.971
404,12:06:35.753,12:06:41.049,12:06:41.107,12:06:41.110
107,12:06:35.760,12:06:41.114,12:06:41.174,12:06:41.178
452,12:06:35.790,12:06:41.585,12:06:41.664,12:06:41.692
2,12:06:35.807,12:06:41.317,12:06:41.374,12:06:41.377
305,12:06:35.817,12:06:41.380,12:06:41.441,12:06:41.444
354,12:06:35.838,12:06:41.447,12:06:41.508,12:06:41.511
253,12:06:35.844,12:06:41.516,12:06:41.577,12:06:41.579
152,12:06:35.866,12:06:42.077,12:06:42.134,12:06:42.157
3,12:06:35.881,12:06:41.941,12:06:42.004,12:06:42.008
453,12:06:35.888,12:06:41.807,12:06:41.864,12:06:41.867
306,12:06:35.902,12:06:41.870,12:06:41.934,12:06:41.938
206,12:06:35.902,12:06:42.011,12:06:42.071,12:06:42.074
108,12:06:35.917,12:06:42.389,12:06:42.444,12:06:42.449
254,12:06:35.928,12:06:42.203,12:06:42.258,12:06:42.261
255,12:06:35.952,12:06:42.453,12:06:42.511,12:06:42.514
153,12:06:35.953,12:06:42.517,12:06:42.577,12:06:42.580
207,12:06:35.958,12:06:42.328,12:06:42.384,12:06:42.386
405,12:06:35.970,12:06:42.583,12:06:42.644,12:06:42.647
355,12:06:35.974,12:06:42.651,12:06:42.707,12:06:42.710
52,12:06:35.995,12:06:42.971,12:06:43.027,12:06:43.031
454,12:06:36.004,12:06:42.839,12:06:42.894,12:06:42.899
4,12:06:36.004,12:06:42.904,12:06:42.964,12:06:42.967
208,12:06:36.017,12:06:43.099,12:06:43.161,12:06:43.164
154,12:06:36.028,12:06:43.036,12:06:43.094,12:06:43.096
455,12:06:36.030,12:06:43.359,12:06:43.421,12:06:43.423
307,12:06:36.044,12:06:43.169,12:06:43.227,12:06:43.230
109,12:06:36.044,12:06:43.233,12:06:43.294,12:06:43.296
356,12:06:36.052,12:06:43.299,12:06:43.354,12:06:43.356
406,12:06:36.065,12:06:43.427,12:06:43.488,12:06:43.492
5,12:06:36.071,12:06:43.696,12:06:43.751,12:06:43.753
209,12:06:36.082,12:06:43.496,12:06:43.557,12:06:43.560
155,12:06:36.087,12:06:43.562,12:06:43.624,12:06:43.627
357,12:06:36.102,12:06:43.630,12:06:43.691,12:06:43.693
308,12:06:36.111,12:06:43.956,12:06:44.017,12:06:44.020
110,12:06:36.124,12:06:43.756,12:06:43.814,12:06:43.817
256,12:06:36.137,12:06:43.888,12:06:43.951,12:06:43.953
358,12:06:36.143,12:06:43.820,12:06:43.881,12:06:43.884
156,12:06:36.154,12:06:44.099,12:06:44.154,12:06:44.157
53,12:06:36.163,12:06:44.040,12:06:44.094,12:06:44.097
6,12:06:36.170,12:06:44.160,12:06:44.217,12:06:44.220
407,12:06:36.194,12:06:44.285,12:06:44.341,12:06:44.343
456,12:06:36.197,12:06:44.223,12:06:44.281,12:06:44.283
7,12:06:36.203,12:06:44.346,12:06:44.404,12:06:44.406
157,12:06:36.217,12:06:44.599,12:06:44.657,12:06:44.660
54,12:06:36.231,12:06:44.408,12:06:44.467,12:06:44.471
257,12:06:36.234,12:06:44.474,12:06:44.531,12:06:44.534
8,12:06:36.254,12:06:44.537,12:06:44.594,12:06:44.596
258,12:06:36.261,12:06:44.792,12:06:44.847,12:06:44.850
457,12:06:36.267,12:06:44.664,12:06:44.721,12:06:44.723
210,12:06:36.271,12:06:45.047,12:06:45.101,12:06:45.103
309,12:06:36.274,12:06:44.727,12:06:44.787,12:06:44.790
408,12:06:36.289,12:06:45.166,12:06:45.227,12:06:45.230
111,12:06:36.294,12:06:45.106,12:06:45.161,12:06:45.163
55,12:06:36.298,12:06:44.853,12:06:44.904,12:06:44.906
56,12:06:36.323,12:06:44.909,12:06:44.974,12:06:44.977
9,12:06:36.337,12:06:44.980,12:06:45.041,12:06:45.045
359,12:06:36.349,12:06:45.359,12:06:45.421,12:06:45.423
158,12:06:36.362,12:06:45.233,12:06:45.291,12:06:45.294
10,12:06:36.366,12:06:45.297,12:06:45.354,12:06:45.357
211,12:06:36.374,12:06:45.492,12:06:45.547,12:06:45.550
310,12:06:36.378,12:06:45.425,12:06:45.487,12:06:45.490
409,12:06:36.378,12:06:45.676,12:06:45.734,12:06:45.737
112,12:06:36.396,12:06:45.807,12:06:45.864,12:06:45.867
311,12:06:36.399,12:06:45.933,12:06:45.994,12:06:45.997
458,12:06:36.414,12:06:46.000,12:06:46.061,12:06:46.064
259,12:06:36.420,12:06:45.871,12:06:45.927,12:06:45.931
159,12:06:36.421,12:06:45.552,12:06:45.607,12:06:45.610
360,12:06:36.430,12:06:45.613,12:06:45.671,12:06:45.673
