8,12:13:53.685
7,12:13:53.712
6,12:13:53.729
3,12:13:53.749
2,12:13:53.766
0,12:13:53.782
1,12:13:53.843
5,12:13:53.864
4,12:13:54.615
9,12:13:54.638
10,12:13:55.292
11,12:13:55.840
12,12:13:55.852
13,12:13:56.010
14,12:13:56.039
15,12:13:56.090
16,12:13:56.130
17,12:13:56.168
18,12:13:56.226
19,12:13:57.874
20,12:13:58.665
21,12:13:59.507
22,12:13:59.517
23,12:13:59.528
24,12:13:59.559
25,12:14:00.718
26,12:14:00.727
27,12:14:00.981
28,12:14:01.160
29,12:14:01.562
30,12:14:01.593
31,12:14:01.626
32,12:14:01.636
33,12:14:01.645
34,12:14:02.036
35,12:14:02.070
36,12:14:02.115
37,12:14:02.134
38,12:14:02.404
39,12:14:02.437
40,12:14:02.454
41,12:14:02.463
42,12:14:02.473
43,12:14:02.485
44,12:14:02.496
45,12:14:02.510
46,12:14:02.521
47,12:14:02.641
48,12:14:02.651
49,12:14:02.661
50,12:13:52.482
53,12:13:52.482
54,12:13:52.505
56,12:13:52.517
51,12:13:52.531
55,12:13:52.620
52,12:13:52.638
57,12:13:52.667
58,12:13:52.692
59,12:13:52.718
60,12:13:52.736
61,12:13:54.627
62,12:13:54.666
63,12:13:54.704
64,12:13:54.737
65,12:13:54.756
66,12:13:54.771
67,12:13:54.783
68,12:13:54.824
69,12:13:56.450
70,12:13:56.535
71,12:13:56.596
72,12:13:58.041
73,12:13:58.089
74,12:13:58.128
75,12:13:58.158
76,12:13:58.177
77,12:13:58.187
78,12:13:59.651
79,12:13:59.674
80,12:13:59.708
81,12:13:59.766
82,12:13:59.804
83,12:13:59.930
84,12:13:59.961
85,12:13:59.972
87,12:13:59.994
86,12:14:00.862
88,12:14:00.870
89,12:14:01.114
90,12:14:01.139
91,12:14:01.150
92,12:14:01.768
93,12:14:01.788
94,12:14:02.024
95,12:14:02.093
96,12:14:02.319
97,12:14:02.385
98,12:14:02.395
99,12:14:02.427
502,12:13:45.759
506,12:13:45.792
500,12:13:45.814
507,12:13:45.870
