id,dc-started,man-adding,man-added,dc-registered
50,12:29:20.244,12:29:22.333,12:29:22.355,12:29:22.357
70,12:29:20.269,12:29:22.494,12:29:22.509,12:29:22.511
60,12:29:20.294,12:29:22.808,12:29:22.818,12:29:22.820
40,12:29:20.299,12:29:22.569,12:29:22.592,12:29:22.593
51,12:29:20.304,12:29:22.241,12:29:22.269,12:29:22.272
61,12:29:20.342,12:29:22.887,12:29:22.903,12:29:22.905
41,12:29:20.346,12:29:22.621,12:29:22.635,12:29:22.637
71,12:29:20.384,12:29:22.410,12:29:22.430,12:29:22.453
20,12:29:20.488,12:29:23.065,12:29:23.078,12:29:23.101
72,12:29:20.499,12:29:22.476,12:29:22.490,12:29:22.495
52,12:29:20.520,12:29:22.277,12:29:22.297,12:29:22.299
53,12:29:20.533,12:29:21.843,12:29:22.201,12:29:22.254
42,12:29:20.536,12:29:22.549,12:29:22.565,12:29:22.586
54,12:29:20.565,12:29:22.307,12:29:22.326,12:29:22.328
62,12:29:20.582,12:29:22.845,12:29:22.856,12:29:22.858
63,12:29:20.620,12:29:22.864,12:29:22.883,12:29:22.884
55,12:29:20.662,12:29:22.362,12:29:22.381,12:29:22.382
73,12:29:20.675,12:29:22.440,12:29:22.467,12:29:22.470
56,12:29:20.692,12:29:22.385,12:29:22.403,12:29:22.405
21,12:29:20.710,12:29:23.082,12:29:23.100,12:29:23.102
43,12:29:20.729,12:29:22.599,12:29:22.614,12:29:22.620
74,12:29:20.768,12:29:22.514,12:29:22.528,12:29:22.530
10,12:29:20.775,12:29:23.364,12:29:23.381,12:29:23.383
75,12:29:20.779,12:29:22.532,12:29:22.545,12:29:22.547
64,12:29:20.780,12:29:22.826,12:29:22.841,12:29:22.842
11,12:29:20.804,12:29:23.314,12:29:23.343,12:29:23.347
12,12:29:20.826,12:29:23.297,12:29:23.311,12:29:23.333
65,12:29:20.833,12:29:22.780,12:29:22.804,12:29:22.805
13,12:29:20.836,12:29:23.349,12:29:23.360,12:29:23.362
22,12:29:20.838,12:29:23.147,12:29:23.165,12:29:23.170
44,12:29:20.845,12:29:22.639,12:29:22.654,12:29:22.658
45,12:29:20.861,12:29:22.657,12:29:22.672,12:29:22.673
46,12:29:20.870,12:29:22.675,12:29:22.689,12:29:22.692
14,12:29:20.881,12:29:23.402,12:29:23.413,12:29:23.414
90,12:29:20.908,12:29:23.715,12:29:23.736,12:29:23.761
57,12:29:20.911,12:29:22.708,12:29:22.720,12:29:22.721
58,12:29:20.920,12:29:22.724,12:29:22.736,12:29:22.737
59,12:29:20.926,12:29:22.739,12:29:22.750,12:29:22.754
23,12:29:20.931,12:29:23.128,12:29:23.141,12:29:23.144
91,12:29:20.940,12:29:23.823,12:29:23.835,12:29:23.836
66,12:29:20.966,12:29:22.754,12:29:22.775,12:29:22.800
67,12:29:20.975,12:29:22.910,12:29:22.925,12:29:22.928
68,12:29:20.981,12:29:22.933,12:29:22.947,12:29:22.948
30,12:29:20.989,12:29:23.595,12:29:23.605,12:29:23.607
69,12:29:20.997,12:29:22.951,12:29:22.966,12:29:22.968
80,12:29:21.010,12:29:23.686,12:29:23.696,12:29:23.716
76,12:29:21.015,12:29:22.971,12:29:22.984,12:29:22.986
77,12:29:21.024,12:29:22.991,12:29:23.005,12:29:23.006
78,12:29:21.029,12:29:23.009,12:29:23.034,12:29:23.037
79,12:29:21.037,12:29:23.041,12:29:23.059,12:29:23.061
15,12:29:21.080,12:29:23.416,12:29:23.429,12:29:23.431
81,12:29:21.090,12:29:23.916,12:29:23.927,12:29:23.928
24,12:29:21.104,12:29:23.108,12:29:23.122,12:29:23.127
16,12:29:21.125,12:29:23.433,12:29:23.449,12:29:23.451
47,12:29:21.147,12:29:22.693,12:29:22.705,12:29:22.706
92,12:29:21.160,12:29:23.739,12:29:23.752,12:29:23.761
31,12:29:21.164,12:29:23.505,12:29:23.518,12:29:23.526
48,12:29:21.174,12:29:23.175,12:29:23.186,12:29:23.188
49,12:29:21.181,12:29:23.191,12:29:23.201,12:29:23.203
32,12:29:21.194,12:29:23.556,12:29:23.569,12:29:23.571
33,12:29:21.201,12:29:23.573,12:29:23.582,12:29:23.584
82,12:29:21.220,12:29:23.900,12:29:23.911,12:29:23.913
93,12:29:21.241,12:29:23.840,12:29:23.854,12:29:23.855
34,12:29:21.244,12:29:23.490,12:29:23.502,12:29:23.526
35,12:29:21.251,12:29:23.609,12:29:23.618,12:29:23.620
25,12:29:21.289,12:29:23.207,12:29:23.218,12:29:23.220
26,12:29:21.295,12:29:23.223,12:29:23.242,12:29:23.244
27,12:29:21.303,12:29:23.248,12:29:23.259,12:29:23.261
28,12:29:21.309,12:29:23.263,12:29:23.277,12:29:23.279
29,12:29:21.329,12:29:23.281,12:29:23.293,12:29:23.294
17,12:29:21.337,12:29:23.386,12:29:23.399,12:29:23.401
18,12:29:21.350,12:29:23.454,12:29:23.471,12:29:23.473
19,12:29:21.355,12:29:23.475,12:29:23.487,12:29:23.488
94,12:29:21.384,12:29:23.773,12:29:23.786,12:29:23.788
0,12:29:21.402,12:29:24.037,12:29:24.047,12:29:24.048
83,12:29:21.414,12:29:23.659,12:29:23.681,12:29:23.683
1,12:29:21.457,12:29:24.052,12:29:24.062,12:29:24.063
36,12:29:21.497,12:29:23.522,12:29:23.536,12:29:23.541
84,12:29:21.509,12:29:23.944,12:29:23.953,12:29:23.954
95,12:29:21.545,12:29:23.756,12:29:23.769,12:29:23.774
37,12:29:21.554,12:29:23.541,12:29:23.552,12:29:23.553
38,12:29:21.565,12:29:23.622,12:29:23.633,12:29:23.634
96,12:29:21.569,12:29:23.806,12:29:23.820,12:29:23.821
39,12:29:21.571,12:29:23.636,12:29:23.644,12:29:23.645
97,12:29:21.577,12:29:23.857,12:29:23.867,12:29:23.869
85,12:29:21.580,12:29:23.956,12:29:23.965,12:29:23.967
86,12:29:21.608,12:29:23.968,12:29:23.980,12:29:23.981
87,12:29:21.621,12:29:23.932,12:29:23.941,12:29:23.943
88,12:29:21.635,12:29:23.647,12:29:23.657,12:29:23.681
2,12:29:21.665,12:29:24.064,12:29:24.075,12:29:24.076
98,12:29:21.717,12:29:23.791,12:29:23.801,12:29:23.803
3,12:29:21.720,12:29:24.022,12:29:24.032,12:29:24.034
4,12:29:21.762,12:29:23.982,12:29:23.992,12:29:24.017
5,12:29:21.768,12:29:24.007,12:29:24.018,12:29:24.019
99,12:29:21.792,12:29:23.870,12:29:23.879,12:29:23.880
89,12:29:21.800,12:29:23.882,12:29:23.896,12:29:23.897
6,12:29:21.808,12:29:23.994,12:29:24.005,12:29:24.017
7,12:29:21.850,12:29:24.077,12:29:24.085,12:29:24.086
8,12:29:21.856,12:29:24.087,12:29:24.096,12:29:24.098
9,12:29:21.862,12:29:24.098,12:29:24.109,12:29:24.110
