id,dc-started,man-adding,man-added,dc-registered
0,12:27:44.889,12:27:45.097,12:27:45.245,12:27:45.294
1,12:27:44.902,12:27:45.362,12:27:45.377,12:27:45.379
2,12:27:44.911,12:27:45.398,12:27:45.412,12:27:45.413
3,12:27:44.919,12:27:45.415,12:27:45.429,12:27:45.434
4,12:27:44.936,12:27:45.381,12:27:45.394,12:27:45.396
5,12:27:44.942,12:27:45.323,12:27:45.338,12:27:45.340
6,12:27:44.949,12:27:45.304,12:27:45.319,12:27:45.324
7,12:27:44.960,12:27:45.342,12:27:45.359,12:27:45.360
8,12:27:44.972,12:27:45.273,12:27:45.300,12:27:45.302
9,12:27:44.978,12:27:45.433,12:27:45.448,12:27:45.451
